index,x,y,radius,angleStart,angleEnd,Rotation,starting_x,starting_y,ending_x,ending_y,tangent1_x,tangent1_y,tangent2_x,tangent2_y
A1,1.88,-3.73,0.617,-1.571,0.0,CCW ,1.88,-4.347,2.497,-3.73,-1.0,0.0,-0.0,1.0
A2,0.231,-4.034,0.304,-3.142,-1.571,CCW ,-0.073,-4.034,0.231,-4.338,0.0,1.0,1.0,-0.0
A3,-0.235,-4.034,0.304,-1.571,0.0,CCW ,-0.235,-4.338,0.069,-4.034,-1.0,0.0,-0.0,1.0
A4,-1.824,-4.034,0.304,-3.142,-1.571,CCW ,-2.128,-4.034,-1.824,-4.338,0.0,1.0,1.0,-0.0
A5,-2.289,-4.034,0.304,-1.571,0.0,CCW ,-2.289,-4.338,-1.985,-4.034,-1.0,0.0,-0.0,1.0
A6,-2.289,-3.73,0.617,-3.142,-1.571,CCW ,-2.906,-3.73,-2.289,-4.347,0.0,1.0,1.0,-0.0
A7,-2.289,-3.73,0.466,-3.142,-1.571,CW,-2.755,-3.73,-2.289,-4.196,0.0,1.0,1.0,-0.0
A8,-2.289,-4.034,0.152,-1.571,0.0,CW,-2.289,-4.186,-2.137,-4.034,-1.0,0.0,-0.0,1.0
A9,-1.824,-4.034,0.152,-3.142,-1.571,CCW ,-1.976,-4.034,-1.824,-4.186,0.0,1.0,1.0,-0.0
A10,-0.235,-4.034,0.152,-1.571,0.0,CW,-0.235,-4.186,-0.083,-4.034,-1.0,0.0,-0.0,1.0
A11,0.231,-4.034,0.152,-3.142,-1.571,CW,0.079,-4.034,0.231,-4.186,0.0,1.0,1.0,-0.0
A12,1.88,-3.73,0.466,-1.571,0.0,CW,1.88,-4.196,2.346,-3.73,-1.0,0.0,-0.0,1.0
A13,2.184,-3.184,0.304,-1.571,0.0,CCW ,2.184,-3.488,2.488,-3.184,-1.0,0.0,-0.0,1.0
A14,2.184,-3.184,0.152,-1.571,0.0,CW,2.184,-3.336,2.336,-3.184,-1.0,0.0,-0.0,1.0
A15,0.949,-2.88,0.466,-1.571,-0.155,CW,0.949,-3.346,1.409,-2.952,-1.0,0.0,0.155,0.988
A16,0.231,-3.649,0.304,1.571,3.142,CCW ,0.231,-3.345,-0.073,-3.649,1.0,0.0,0.0,-1.0
A17,0.231,-3.649,0.152,1.571,3.142,CW,0.231,-3.497,0.079,-3.649,1.0,0.0,0.0,-1.0
A18,-0.235,-3.649,0.304,0.0,1.571,CCW ,0.069,-3.649,-0.235,-3.345,0.0,-1.0,-1.0,-0.0
A19,-0.235,-3.649,0.152,0.0,1.571,CW,-0.083,-3.649,-0.235,-3.497,0.0,-1.0,-1.0,-0.0
A20,-1.824,-3.649,0.304,1.571,3.142,CCW ,-1.824,-3.345,-2.128,-3.649,1.0,0.0,0.0,-1.0
A21,-1.824,-3.649,0.152,1.571,3.142,CW,-1.824,-3.497,-1.976,-3.649,1.0,0.0,0.0,-1.0
A22,-1.824,-3.184,0.304,-3.142,-1.571,CCW ,-2.128,-3.184,-1.824,-3.488,0.0,1.0,1.0,-0.0
A23,-1.824,-3.184,0.152,-3.142,-1.571,CW,-1.976,-3.184,-1.824,-3.336,0.0,1.0,1.0,-0.0
A24,-0.235,-3.184,0.304,-1.571,0.0,CCW ,-0.235,-3.488,0.069,-3.184,-1.0,0.0,-0.0,1.0
A25,-0.235,-3.184,0.152,-1.571,0.0,CW,-0.235,-3.336,-0.083,-3.184,-1.0,0.0,-0.0,1.0
A26,0.231,-3.184,0.304,-3.142,-1.571,CCW ,-0.073,-3.184,0.231,-3.488,0.0,1.0,1.0,-0.0
A27,0.231,-3.184,0.152,-3.142,-1.571,CW,0.079,-3.184,0.231,-3.336,0.0,1.0,1.0,-0.0
A28,1.87,-3.022,0.466,1.726,2.986,CCW ,1.798,-2.562,1.41,-2.95,0.988,0.155,-0.155,-0.988
A29,1.718,-2.111,0.466,-1.416,0.0,CW,1.79,-2.571,2.184,-2.111,-0.988,-0.155,-0.0,1.0
A30,1.334,-2.728,1.002,0.088,0.448,CW,2.332,-2.64,2.237,-2.294,0.088,-0.996,-0.433,0.902
