index,direction,length,x,y,starting_x,starting_y,ending_x,ending_y,tangent1_x,tangent1_y,tangent2_x,tangent2_y
S1,-X,1.65,0.231,-4.348,0.231,-4.348,1.881,-4.348,-1.0,0.0,1.0,0.0
S2,+X,1.65,1.88,-4.186,1.88,-4.186,0.23,-4.186,1.0,0.0,-1.0,0.0
S3,-X,0.466,-0.235,-4.348,-0.235,-4.348,0.231,-4.348,-1.0,0.0,1.0,0.0
S4,+X,0.466,0.231,-4.186,0.231,-4.186,-0.235,-4.186,1.0,0.0,-1.0,0.0
S5,-X,1.589,-1.824,-4.348,-1.824,-4.348,-0.235,-4.348,-1.0,0.0,1.0,0.0
S6,+X,1.589,-0.235,-4.186,-0.235,-4.186,-1.824,-4.186,1.0,0.0,-1.0,0.0
S7,-X,0.466,-2.289,-4.348,-2.289,-4.348,-1.823,-4.348,-1.0,0.0,1.0,0.0
S8,+X,0.466,-1.824,-4.186,-1.824,-4.186,-2.29,-4.186,1.0,0.0,-1.0,0.0
S9,+Y,0.385,-2.137,-3.649,-2.137,-3.649,-2.137,-4.034,0.0,1.0,0.0,-1.0
S10,-Y,0.385,-1.975,-4.034,-1.975,-4.034,-1.975,-3.649,0.0,-1.0,0.0,1.0
S11,-Y,0.466,-1.975,-3.649,-1.975,-3.649,-1.975,-3.183,0.0,-1.0,0.0,1.0
S12,+Y,0.466,-2.137,-3.184,-2.137,-3.184,-2.137,-3.65,0.0,1.0,0.0,-1.0
S13,-X,1.589,-1.824,-3.497,-1.824,-3.497,-0.235,-3.497,-1.0,0.0,1.0,0.0
S14,+X,1.589,-0.235,-3.336,-0.235,-3.336,-1.824,-3.336,1.0,0.0,-1.0,0.0
S141,+X,0.688,-0.235,-3.336,-0.235,-3.336,-0.923,-3.336,1.0,0.0,-1.0,0.0
S142,+X,0.466,-0.921,-3.336,-0.921,-3.336,-1.387,-3.336,1.0,0.0,-1.0,0.0
S143,+X,0.435,-1.386,-3.336,-1.386,-3.336,-1.821,-3.336,1.0,0.0,-1.0,0.0
S15,+Y,0.385,-0.073,-3.649,-0.073,-3.649,-0.073,-4.034,0.0,1.0,0.0,-1.0
S16,-Y,0.385,0.079,-4.034,0.079,-4.034,0.079,-3.649,0.0,-1.0,0.0,1.0
S17,+Y,0.466,-0.073,-3.184,-0.073,-3.184,-0.073,-3.65,0.0,1.0,0.0,-1.0
S18,-Y,0.466,0.079,-3.649,0.079,-3.649,0.079,-3.183,0.0,-1.0,0.0,1.0
S19,+X,0.466,0.231,-3.336,0.231,-3.336,-0.235,-3.336,1.0,0.0,-1.0,0.0
S20,-X,0.466,-0.235,-3.497,-0.235,-3.497,0.231,-3.497,-1.0,0.0,1.0,0.0
S21,-X,1.953,0.231,-3.497,0.231,-3.497,2.184,-3.497,-1.0,0.0,1.0,0.0
S22,+X,0.719,0.949,-3.336,0.949,-3.336,0.23,-3.336,1.0,0.0,-1.0,0.0
S23,+X,1.235,2.184,-3.336,2.184,-3.336,0.949,-3.336,1.0,0.0,-1.0,0.0
S26,-Y,0.546,2.498,-3.799,2.498,-3.799,2.498,-3.253,0.0,-1.0,0.0,1.0
S27,+Y,0.546,2.336,-3.184,2.336,-3.184,2.336,-3.73,0.0,1.0,0.0,-1.0
S28,-Y,0.546,2.498,-3.184,2.498,-3.184,2.498,-2.638,0.0,-1.0,0.0,1.0
S29,+Y,0.546,2.336,-2.637,2.336,-2.637,2.336,-3.183,0.0,1.0,0.0,-1.0
S30,-Y,0.546,0.079,-3.184,0.079,-3.184,0.079,-2.638,0.0,-1.0,0.0,1.0
S31,+Y,0.546,-0.073,-2.627,-0.073,-2.627,-0.073,-3.173,0.0,1.0,0.0,-1.0
S32,-Y,0.385,-1.075,-3.184,-1.075,-3.184,-1.075,-2.799,0.0,-1.0,0.0,1.0
S33,+Y,0.385,-1.237,-2.799,-1.237,-2.799,-1.237,-3.184,0.0,1.0,0.0,-1.0
S34,-Y,0.698,-1.975,-3.184,-1.975,-3.184,-1.975,-2.486,0.0,-1.0,0.0,1.0
S35,+Y,0.698,-2.137,-2.496,-2.137,-2.496,-2.137,-3.194,0.0,1.0,0.0,-1.0
S36,-Y,0.921,-2.755,-3.73,-2.755,-3.73,-2.755,-2.809,0.0,-1.0,0.0,1.0
S37,+Y,0.921,-2.906,-2.799,-2.906,-2.799,-2.906,-3.72,0.0,1.0,0.0,-1.0
S38,+Y,0.466,-2.137,-2.03,-2.137,-2.03,-2.137,-2.496,0.0,1.0,0.0,-1.0
S39,+X,0.466,-1.824,-2.182,-1.824,-2.182,-2.29,-2.182,1.0,0.0,-1.0,0.0
S40,-Y,0.466,-1.975,-2.496,-1.975,-2.496,-1.975,-2.03,0.0,-1.0,0.0,1.0
